trial,image_id,pos_x,pos_y,shown_at,fire_received,time_to_fire_s,result_code,result_label
1,F_3,887,618,2026-07-30T19:22:21.861,True,37.25,1,적중
2,F_2,1166,562,2026-07-30T19:23:16.767,True,1.719,1,적중
3,F_3,748,594,2026-07-30T19:23:41.298,True,6.453,2,미적중
4,F_2,1004,597,2026-07-30T19:24:11.903,True,24.125,1,적중
5,F_3,724,648,2026-07-30T19:24:44.959,True,5.641,1,적중
6,F_3,1201,740,2026-07-30T19:25:23.061,True,3.422,1,적중
7,F_3,828,508,2026-07-30T19:25:51.950,True,6.235,1,적중
8,F_3,892,546,2026-07-30T19:26:27.460,True,3.735,1,적중
9,F_2,739,415,2026-07-30T19:27:31.029,True,70.11,1,적중
10,F_2,696,470,2026-07-30T19:31:06.908,True,4.016,1,적중
11,F_2,1000,609,2026-07-30T19:31:27.909,True,5.141,1,적중
12,F_3,730,549,2026-07-30T19:31:37.954,True,2.625,1,적중
13,F_2,689,393,2026-07-30T19:31:45.387,True,16.625,1,적중
14,F_3,782,468,2026-07-30T19:33:06.826,True,11.032,1,적중
15,F_2,835,507,2026-07-30T19:33:24.730,True,0.39,1,적중
16,F_2,1194,605,2026-07-30T19:33:36.794,True,6.125,1,적중
17,F_2,922,391,2026-07-30T19:33:47.688,True,41.343,3,미검출
18,F_3,727,534,2026-07-30T19:34:43.208,True,5.953,1,적중
19,F_3,882,606,2026-07-30T19:34:54.040,True,2.219,1,적중
20,F_2,1210,543,2026-07-30T19:35:00.746,True,0.594,2,미적중
